BARCODE,ITEM DESCRIPTION,, SUPPLIER , SELLING PRICE , PURCHASE PRICE , REV ,,,,
4800575142169,AL CONDENSED  40g ,,ALASKA, 8.00 , 5.25 , 2.75 ,,,,
4800575120167,AL CONDENSED 168 ,,ALASKA, 50.00 , 46.25 , 3.75 ,,,,
4800575120303,AL CONDENSED 300 ,,ALASKA, 75.00 , 68.50 , 6.50 ,,,,
4800575144620,ALASKA 1.6 KG forti ,,ALASKA, 398.00 , 383.00 , 15.00 ,,,,
4800575421189,ALASKA BLUEBERRY YOGURT,,ALASKA, 26.00 , 20.75 , 5.25 ,,,,
4800575130166,ALASKA CONDENSADA BLUE 168ML ,,ALASKA, 40.00 , 35.50 , 4.50 ,,,,
4800575130302,ALASKA CONDENSADA BLUE 300ML ,,ALASKA, 59.00 , 54.50 , 4.50 ,,,,
4800575144293,ALASKA CREM 150ML ,,ALASKA, 28.00 , 23.59 , 4.41 ,,,,
4800575480254,ALASKA CREMA 250ml ,,ALASKA, 60.00 , 55.81 , 4.19 ,,,,
4800575240155,ALASKA CREMA 2'S ,,ALASKA, 99.00 , 94.90 , 4.10 ,,,,
4800575142985,ALASKA CREMA ASADA ,,ALASKA, 57.00 , 51.75 , 5.25 ,,,,
4800575140158,ALASKA EVAPORADA 140 ,,ALASKA, 24.00 , 19.00 , 5.00 ,,,,
4800575140370,ALASKA EVAPORADA 370 ,,ALASKA, 39.00 , 35.25 , 3.75 ,,,,
4800575110151,ALASKA EVAPORATED 154ml,,ALASKA, 33.00 , 28.75 , 4.25 ,,,,
4800575110373,ALASKA EVAPORATED 370,,ALASKA, 60.00 , 55.75 , 4.25 ,,,,
4800575240650,ALASKA FORTI 10s 33g,,ALASKA, 80.00 , 70.00 , 10.00 ,,,,
4800575141605,ALASKA FORTI 1KG,,ALASKA, 250.00 , 239.74 , 10.26 ,,,,
4800575144590,ALASKA FORTI 300g ,,ALASKA, 98.00 , 92.00 , 6.00 ,,,,
4800575142633,ALASKA FORTI 33G,,ALASKA, 10.00 , 9.00 , 1.00 ,,,,
4800575230453,ALASKA FORTI 450g ,,ALASKA, 149.00 , 143.75 , 5.25 ,,,,
4800575144613,ALASKA FORTI 900G ,,ALASKA, 275.00 , 263.00 , 12.00 ,,,,
4800575143531,ALASKA FORTI DRINK 180ML ,,ALASKA, 25.00 , 18.52 , 6.48 ,,,,
4800575144729,ALASKA FRUITTY APPLE,,ALASKA, 12.00 , 8.45 , 3.55 ,,,,
4800575144712,ALASKA FRUITTY STRAW,,ALASKA, 12.00 , 8.45 , 3.55 ,,,,
4800575144088,ALASKA MELON 300ML ,,ALASKA, 48.00 ,, NO PP ,,,,
4800575420113,ALASKA YOGHURT 110ML ,,ALASKA, 18.00 , 13.21 , 4.79 ,,,,
4800575420182,ALASKA YOGHURT 180ML ,,ALASKA, 26.00 , 20.75 , 5.25 ,,,,
4800575421110,ALASKA YOGURT B.BERRY 100ML ,,ALASKA, 18.00 , 13.21 , 4.79 ,,,,
4800575370302,COWBEL COND 300ml,,ALASKA, 46.00 , 40.10 , 5.90 ,,,,
4800575890787,COWBEL CONDE 160ML,,ALASKA, 29.00 , 25.24 , 3.76 ,,,,
4800575144910,COWBEL CONDENSARAP ,,ALASKA, 44.00 , 38.50 , 5.50 ,,,,
4800575141100,COWBEL EVAP 370ml,,ALASKA, 33.00 , 28.25 , 4.75 ,,,,
4800575425033,KREMTOP  250G ,,ALASKA, 62.00 , 55.70 , 6.30 ,,,,
4800575425026,KREMTOP 170G ,,ALASKA, 48.00 , 42.00 , 6.00 ,,,,
4800575142428,KREMTOP 450+50,,ALASKA, 112.00 , 103.22 , 8.78 ,,,,
4800575141667,KREMTOP CREAM 450G ,,ALASKA, 106.00 , 98.59 , 7.41 ,,,,
4800575425019,KREMTOP CREAM 80G ,,ALASKA, 22.00 , 17.84 , 4.16 ,,,,
4800575142435,KREMTOP FREE 30G ,,ALASKA, 56.00 , 51.41 , 4.59 ,,,,
4800575143753,ALASKA FORTI CHOCO 300G,,ALASKA, 105.00 , 99.00 , 6.00 ,,,,
4800024583048,MR.MILK (MILK) ,,ALASKA, 13.00 , 8.00 , 5.00 ,,,,
4800024583062,MR.MILK GREEN APPLE,,ALASKA, 13.00 , 7.92 , 5.08 ,,,,
4800024585639,MR.MILK MANGO ,,ALASKA, 13.00 , 7.88 , 5.12 ,,,,
4800024583055,MR.MILK STRAW,,ALASKA, 12.00 , 7.96 , 4.05 ,,,,
4800024585790,MR.MILK STRAW,,ALASKA, 13.00 , 7.96 , 5.05 ,,,,
4800014146086,ABSOLUTE 1.5L,,ALEMART, 43.00 , 30.83 , 12.17 ,,,,
4800014145089,ABSOLUTE 1L,,ALEMART, 33.00 , 20.58 , 12.42 ,,,,
4800014700011,ABSOLUTE 2L,,ALEMART, 50.00 , 32.70 , 17.30 ,,,,
4800014700004,ABSOLUTE 6L,,ALEMART, 88.00 , 75.17 , 12.83 ,,,,
ABS,ABSOLUTE 8L ,,ALEMART, 100.00 , 89.50 , 10.50 ,,,,
4800611546760,COBRA ENERGY 350ml,,ALEMART, 27.00 , 19.20 , 7.80 ,,,,
COBRA,COBRA ORIG/CITRU,,ALEMART, 22.00 , 15.83 , 6.17 ,,,,
4800220608750,EMBASSY WHISKY ,,ALEMART, 186.00 , 151.00 , 35.00 ,,,,
4800014142088,SUMMIT 1L ,,ALEMART, 32.00 , 18.25 , 13.75 ,,,,
4800014141081,SUMMIT 500ml ,,ALEMART, 17.00 , 10.63 , 6.38 ,,,,
40329086,CAMEL BLUE,,CIG, 110.00 , 107.00 , 3.00 ,,,,
4806028912513,MIGHTY BLACK PC ,,CIG, 7.00 , 5.50 , 1.50 ,,,,
4032900145211,MIGHTY MAX BLACK,,CIG, 130.00 , 86.50 , 43.50 ,,,,
4806028912515,MIGHTY RED PC ,,CIG, 7.00 , 5.50 , 1.50 ,,,,
40329055,CAMEL ,,CIG, 134.00 , 126.00 , 8.00 ,,,,
8801116017621,CARNIVAL BLUE ,,CIG, 50.00 , 45.00 , 5.00 ,,,,
8801116009091,CARNIVAL GREEN MENTHOL,,CIG, 45.00 , 38.00 , 7.00 ,,,,
8801116014897,CARNIVAL MENTHOL ,,CIG, 45.00 , 37.00 , 8.00 ,,,,
8801116017607,CARNIVAL RED,,CIG, 60.00 , 48.00 , 12.00 ,,,,
6901028167215,FARSTAR ,,CIG, 45.00 , 28.00 , 17.00 ,,,,
6901028161244,FARSTAR RED,,CIG, 45.00 , 25.00 , 20.00 ,,,,
48043717,FORTUNE GREEN,,CIG, 155.00 , 145.00 , 10.00 ,,,,
48043441,FORTUNE LIGHTS,,CIG, 115.00 , 107.00 , 8.00 ,,,,
48041812,MIGHTY green ,,CIG, 155.00 , 145.00 , 10.00 ,,,,
MIGHTY,MIGHTY PC,,CIG, 9.00 , 7.25 , 1.75 ,,,,
48041836,MIGHTY RED,,CIG, 130.00 , 125.00 , 5.00 ,,,,
48040594,WINSTON RED ,,CIG, 174.00 , 163.00 , 11.00 ,,,,
15018458,AVON CRYSTAL TAWAS DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15018472,AVON CRYSTAL BRIGHTENING DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15326317,AVON CRYSTAL MEN SHOWER DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
15326324,AVON CRYSTALNO MARKS DEO CREAM,, CLOSET , 129.00 , 109.00 , 20.00 ,,,,
14634451,AVON DEO GLUTA ,,CLOSET, 95.00 , 90.00 , 5.00 ,,,,
14813375,AVON DEO PAPAYA,,CLOSET, 95.00 , 90.00 , 5.00 ,,,,
